item_id,CustomLabel,Title,CurrentPrice,SuggestedPrice,MedianSold,ActiveAvg,Note,Detected
None,,,,,,,,No duplicates found on 2025-11-17 10:31:16
None,,,,,,,,No duplicates found on 2025-11-17 10:39:45
None,,,,,,,,No duplicates found on 2025-11-17 11:51:45
None,,,,,,,,No duplicates found on 2025-11-17 12:15:33
None,,,,,,,,No duplicates found on 2025-11-17 12:18:34
None,,,,,,,,No duplicates found on 2025-11-17 12:28:49
None,,,,,,,,No duplicates found on 2025-11-17 12:39:13
None,,,,,,,,No duplicates found on 2025-11-17 12:50:41
None,,,,,,,,No duplicates found on 2025-11-17 13:03:53
None,,,,,,,,No duplicates found on 2025-11-17 13:26:40
None,,,,,,,,No duplicates found on 2025-11-17 13:31:05
None,,,,,,,,No duplicates found on 2025-11-17 13:55:01
None,,,,,,,,No duplicates found on 2025-11-17 14:04:13
None,,,,,,,,No duplicates found on 2025-11-17 14:09:10
None,,,,,,,,No duplicates found on 2025-11-17 14:13:46
None,,,,,,,,No duplicates found on 2025-11-17 14:18:05
'236210243001,070624-C,Clyde Edwards-Helaire 2022 Donruss Elite #92 Kansas City Chiefs,1.55,1.99,2.495,1.99,Browse BIN | Browse BIN (Tier1),2025-11-17 14:33:12
None,,,,,,,,No duplicates found on 2025-11-17 15:27:15
'236210243001,070624-C,Clyde Edwards-Helaire 2022 Donruss Elite #92 Kansas City Chiefs,1.55,1.95,2.495,1.99,Browse BIN | ActiveCache,2025-11-17 15:37:32
None,,,,,,,,No duplicates found on 2025-11-17 16:08:46
None,,,,,,,,No duplicates found on 2025-11-17 17:43:23
